,年化收益率,季度胜率,夏普比率,卡玛比率,参数
绩效数据,-0.003632139352528596,0.5,-0.19739336784063935,-0.006179915401578437,cmo_length: 195; m_length: 90
绩效数据,0.0006753089536877255,0.5,-0.17797962579200752,0.0010924322487158352,cmo_length: 195; m_length: 95
绩效数据,0.04210887147180431,0.5,0.009556777073407664,0.08732118107414584,cmo_length: 195; m_length: 100
绩效数据,0.03233975786511234,0.47619047619047616,-0.03472008714295684,0.06317047518523383,cmo_length: 195; m_length: 105
绩效数据,0.013562609146490212,0.47619047619047616,-0.11987710434054721,0.024128992208213306,cmo_length: 195; m_length: 110
绩效数据,-0.018628649882431958,0.47619047619047616,-0.26593807021409066,-0.02731482808421452,cmo_length: 195; m_length: 115
绩效数据,-0.02539951968615861,0.47619047619047616,-0.29672172587611423,-0.03728260448759434,cmo_length: 195; m_length: 120
绩效数据,-0.015761751608322383,0.4523809523809524,-0.2530364268342438,-0.0226511140827794,cmo_length: 195; m_length: 125
绩效数据,-0.020974612825224614,0.47619047619047616,-0.27678793858936507,-0.030402923775400978,cmo_length: 195; m_length: 130
绩效数据,-0.02733708856083683,0.47619047619047616,-0.30577854182874425,-0.03896617895121396,cmo_length: 195; m_length: 135
绩效数据,-0.017649177034949393,0.47619047619047616,-0.26183737701414017,-0.02659967528969592,cmo_length: 195; m_length: 140
绩效数据,-0.011505692208293117,0.4523809523809524,-0.2339653149025363,-0.017215797158101558,cmo_length: 195; m_length: 145
绩效数据,-0.019170547052013598,0.4523809523809524,-0.26878990282848886,-0.027613247736557395,cmo_length: 195; m_length: 150
绩效数据,-0.02406357149559346,0.47619047619047616,-0.2910682441079434,-0.03256432978622572,cmo_length: 195; m_length: 155
绩效数据,-0.038888577737875685,0.4523809523809524,-0.35850302607256074,-0.05076570399953156,cmo_length: 195; m_length: 160
绩效数据,-0.05579808770325079,0.4523809523809524,-0.4354219863942984,-0.07103620505639535,cmo_length: 195; m_length: 165
绩效数据,-0.048635436739760785,0.4523809523809524,-0.40293717866133916,-0.06414810496617991,cmo_length: 195; m_length: 170
绩效数据,-0.050605569516199655,0.4523809523809524,-0.41196032017808154,-0.06703992393644305,cmo_length: 195; m_length: 175
绩效数据,-0.05703983805600743,0.47619047619047616,-0.4412811719329798,-0.07478131978998633,cmo_length: 195; m_length: 180
绩效数据,-0.05034619014729724,0.47619047619047616,-0.41087903882374904,-0.06668367385197108,cmo_length: 195; m_length: 185
绩效数据,-0.055206357443495446,0.47619047619047616,-0.4330342908473786,-0.07255413817030139,cmo_length: 195; m_length: 190
