,年化收益率,季度胜率,夏普比率,卡玛比率,cmo_length,m_length
绩效数据,-0.035522166,0.452380952,-0.340588974,-0.050167967,60,155
绩效数据,-0.035033698,0.380952381,-0.340212483,-0.048950435,85,220
绩效数据,-0.035340089,0.476190476,-0.339881949,-0.050812496,45,175
绩效数据,-0.035883683,0.428571429,-0.339786466,-0.047061623,30,155
绩效数据,-0.034677198,0.452380952,-0.339475251,-0.04611257,215,150
绩效数据,-0.035125856,0.428571429,-0.339166424,-0.051843103,35,215
绩效数据,-0.034593766,0.476190476,-0.339149437,-0.051265314,145,225
绩效数据,-0.034783754,0.5,-0.338076656,-0.04950484,60,215
绩效数据,-0.034288931,0.452380952,-0.337880384,-0.051854118,160,225
绩效数据,-0.03428832,0.428571429,-0.337841421,-0.049912209,165,215
绩效数据,-0.034254872,0.452380952,-0.337608506,-0.047936312,165,205
绩效数据,-0.033971804,0.428571429,-0.336321419,-0.048592134,160,210
绩效数据,-0.034341669,0.380952381,-0.335839492,-0.049805882,50,215
绩效数据,-0.034886463,0.523809524,-0.335806177,-0.046017449,45,145
绩效数据,-0.0338832,0.428571429,-0.335571752,-0.048005479,145,190
绩效数据,-0.0338089,0.476190476,-0.335416905,-0.044491408,200,155
绩效数据,-0.033657238,0.428571429,-0.334935101,-0.048142189,165,210
绩效数据,-0.033453528,0.428571429,-0.333964861,-0.048137989,155,215
绩效数据,-0.034461565,0.5,-0.333900721,-0.044676781,75,115
绩效数据,-0.033534939,0.476190476,-0.333553551,-0.046726217,175,135
绩效数据,-0.033926811,0.452380952,-0.333545388,-0.049668942,40,185
绩效数据,-0.033812765,0.428571429,-0.333237896,-0.051775273,115,135
绩效数据,-0.033582408,0.452380952,-0.332409307,-0.047906419,100,165
绩效数据,-0.033652235,0.452380952,-0.332306477,-0.047067938,70,155
绩效数据,-0.033569779,0.428571429,-0.332169055,-0.049930855,110,145
绩效数据,-0.0333684,0.452380952,-0.331319365,-0.046606621,30,230
绩效数据,-0.031707078,0.404761905,-0.330855533,-0.043994194,235,235
绩效数据,-0.03273254,0.452380952,-0.330801173,-0.049778636,150,235
绩效数据,-0.033210685,0.452380952,-0.330519559,-0.04837791,95,155
绩效数据,-0.033152212,0.452380952,-0.33025556,-0.048291997,100,150
绩效数据,-0.032421476,0.428571429,-0.329945103,-0.047462623,165,230
绩效数据,-0.032995781,0.428571429,-0.329549284,-0.050222588,45,205
绩效数据,-0.032421096,0.428571429,-0.329384587,-0.048463087,170,215
绩效数据,-0.032889359,0.452380952,-0.329360203,-0.04820382,60,210
绩效数据,-0.032193736,0.452380952,-0.32876052,-0.046897388,170,220
绩效数据,-0.032701493,0.404761905,-0.328511257,-0.046551291,50,220
绩效数据,-0.032087276,0.452380952,-0.328275692,-0.046935484,165,225
绩效数据,-0.032261581,0.428571429,-0.328248023,-0.047316866,145,195
绩效数据,-0.032398425,0.452380952,-0.328103697,-0.045310976,170,130
绩效数据,-0.032114965,0.452380952,-0.327992168,-0.048092868,165,220
绩效数据,-0.032444634,0.476190476,-0.327737191,-0.046247932,70,215
绩效数据,-0.033161561,0.523809524,-0.327596776,-0.043759617,50,135
绩效数据,-0.033014226,0.5,-0.326937019,-0.043744412,55,130
绩效数据,-0.031969341,0.404761905,-0.326878649,-0.047204271,120,215
绩效数据,-0.032370976,0.452380952,-0.326814917,-0.049504717,40,220
绩效数据,-0.031929913,0.452380952,-0.32540849,-0.046530845,65,220
绩效数据,-0.032377861,0.523809524,-0.324556446,-0.04196724,40,150
绩效数据,-0.031840045,0.452380952,-0.324358841,-0.050139056,40,215
绩效数据,-0.033264553,0.452380952,-0.324323341,-0.047163875,20,40
绩效数据,-0.031575146,0.428571429,-0.323220916,-0.045875046,105,155
绩效数据,-0.031412524,0.452380952,-0.323198186,-0.044950942,155,135
绩效数据,-0.031383394,0.476190476,-0.323066342,-0.045234428,75,215
绩效数据,-0.032196766,0.476190476,-0.32303164,-0.043101294,25,150
绩效数据,-0.031387367,0.452380952,-0.322492657,-0.045106051,35,230
绩效数据,-0.029850979,0.404761905,-0.322279978,-0.041529037,230,235
绩效数据,-0.030736338,0.452380952,-0.321687162,-0.044331613,160,220
绩效数据,-0.031079223,0.452380952,-0.320981307,-0.045024843,35,225
绩效数据,-0.030649675,0.428571429,-0.320884555,-0.043376549,150,185
绩效数据,-0.030602175,0.428571429,-0.320709821,-0.043778988,160,180
绩效数据,-0.030474225,0.428571429,-0.320460512,-0.044598597,160,215
绩效数据,-0.030446867,0.428571429,-0.32001434,-0.044751885,155,190
绩效数据,-0.030795457,0.547619048,-0.319818586,-0.043458436,195,70
绩效数据,-0.031383827,0.523809524,-0.319636207,-0.041503944,70,115
绩效数据,-0.030302099,0.452380952,-0.319479791,-0.042565946,160,195
绩效数据,-0.030502966,0.428571429,-0.318723366,-0.043469158,50,225
绩效数据,-0.031146363,0.523809524,-0.31848394,-0.040394732,45,135
绩效数据,-0.030437914,0.452380952,-0.31784579,-0.045620968,40,190
绩效数据,-0.029850002,0.452380952,-0.317656218,-0.041328226,230,150
绩效数据,-0.030825838,0.5,-0.317596567,-0.041146608,70,120
绩效数据,-0.030327112,0.476190476,-0.317476389,-0.044787065,95,150
绩效数据,-0.030754088,0.523809524,-0.317274817,-0.041113958,65,125
绩效数据,-0.03019159,0.428571429,-0.31688881,-0.04581317,110,140
绩效数据,-0.030237554,0.428571429,-0.316597312,-0.041589436,40,170
绩效数据,-0.03004583,0.452380952,-0.31643202,-0.045783495,105,160
绩效数据,-0.029946221,0.428571429,-0.315807851,-0.045434933,60,195
绩效数据,-0.029300423,0.452380952,-0.315806863,-0.042696064,175,225
绩效数据,-0.029821356,0.452380952,-0.315107206,-0.043865509,50,185
绩效数据,-0.029288926,0.428571429,-0.314530173,-0.041560572,150,175
绩效数据,-0.029487936,0.404761905,-0.314487561,-0.043467708,85,205
绩效数据,-0.029568525,0.452380952,-0.314353924,-0.042486483,35,235
绩效数据,-0.02954889,0.476190476,-0.313649393,-0.042549505,55,160
绩效数据,-0.028986419,0.452380952,-0.313500627,-0.03961921,205,150
绩效数据,-0.028899426,0.428571429,-0.313147773,-0.042413011,145,215
绩效数据,-0.029326523,0.428571429,-0.313066135,-0.044147298,95,165
绩效数据,-0.028977268,0.5,-0.313005394,-0.040931852,180,140
绩效数据,-0.029319549,0.404761905,-0.312978328,-0.044248637,115,140
绩效数据,-0.029031804,0.404761905,-0.312845817,-0.040880691,90,210
绩效数据,-0.028764536,0.428571429,-0.312362062,-0.041252235,220,120
绩效数据,-0.029440107,0.523809524,-0.311520674,-0.038939643,85,110
绩效数据,-0.028981106,0.428571429,-0.311506247,-0.044336132,115,145
绩效数据,-0.029393155,0.5,-0.311339561,-0.039245687,40,160
绩效数据,-0.028442767,0.428571429,-0.311256343,-0.042768679,170,210
绩效数据,-0.028695711,0.452380952,-0.311252447,-0.041022355,85,210
