,年化收益率,季度胜率,夏普比率,卡玛比率,short_p,long_p
绩效数据,0.03964618663732433,0.5238095238095238,-0.001577859718354768,0.07875063410298347,110,140
绩效数据,0.05908964105935999,0.5238095238095238,0.08519017107292702,0.12546898353634253,110,150
绩效数据,0.07252231933653164,0.5714285714285714,0.14523586948662306,0.1659657708923619,110,160
绩效数据,0.09078194327629885,0.6190476190476191,0.22725111409452184,0.15898173902619592,110,170
绩效数据,0.08382687326547811,0.5714285714285714,0.1962786662353591,0.14665707591135224,110,180
绩效数据,0.09161445613373154,0.6190476190476191,0.2315696238420048,0.16037385067501228,110,190
绩效数据,0.1211045593025506,0.6190476190476191,0.3641749914112861,0.21935727749784256,110,200
绩效数据,0.1243516824676858,0.5952380952380952,0.3805356674613732,0.2258372695143815,110,210
绩效数据,0.14539602076060065,0.6190476190476191,0.47598183359530116,0.3001597072981281,110,220
绩效数据,0.1613159003616036,0.6428571428571429,0.5481219050207137,0.3634128706168452,110,230
绩效数据,0.015295780276889603,0.5,-0.10996022997424909,0.034798156281421806,115,120
绩效数据,0.015357244476025711,0.47619047619047616,-0.10971611286392176,0.028070444891039655,115,130
绩效数据,0.04197642461279383,0.5238095238095238,0.008814132553594058,0.08699667843497083,115,140
绩效数据,0.06447397223277695,0.5,0.10922233513763603,0.13801802145906378,115,150
绩效数据,0.06006424102450647,0.5476190476190477,0.08959383037859991,0.12291947159890686,115,160
绩效数据,0.06759127410512944,0.5952380952380952,0.12344996801263189,0.11087702588432614,115,170
绩效数据,0.08110381630849028,0.5476190476190477,0.18407948661228085,0.14197466071124148,115,180
绩效数据,0.106483360697744,0.5952380952380952,0.2983190973242315,0.19893508312474603,115,190
绩效数据,0.12357695495934862,0.6190476190476191,0.3752859293534884,0.22400029941496102,115,200
绩效数据,0.12464535092369489,0.5952380952380952,0.38186165947318057,0.24365491136508519,115,210
绩效数据,0.1468118488351442,0.6190476190476191,0.48238391349660004,0.3114226970392188,115,220
